
=== START 2026-03-07 20:18:16 ===
CMD: /home/codespace/.python/current/bin/python3 /workspaces/Kalshi_alg/V1.py --ticker KXNCAAMBGAME-26MAR07URIFOR-URI --yes-budget-cents 100 --no-budget-cents 100
20:18:17 INFO START | environment=PROD ticker=KXNCAAMBGAME-26MAR07URIFOR-URI yes_budget_cents=100 no_budget_cents=100 price_structure=linear_cent fractional_trading=False dry_run=False websocket=wss://api.elections.kalshi.com/trade-api/ws/v2
20:19:12 INFO AMEND_OK | side=no price_dollars=0.4400 total_fillable_contracts=2.00 order_id=04cb5bf1-6b8c-4129-b40b-39e91e28d80f
20:19:12 INFO AMEND_OK | side=yes price_dollars=0.5100 total_fillable_contracts=1.00 order_id=e441cfac-a46e-42dd-b4d9-b38f108d8ca0
20:19:12 INFO AMEND_OK | side=yes price_dollars=0.5400 total_fillable_contracts=1.00 order_id=e441cfac-a46e-42dd-b4d9-b38f108d8ca0
20:19:12 INFO AMEND_OK | side=no price_dollars=0.4300 total_fillable_contracts=2.00 order_id=04cb5bf1-6b8c-4129-b40b-39e91e28d80f
20:19:12 INFO AMEND_OK | side=yes price_dollars=0.5300 total_fillable_contracts=1.00 order_id=e441cfac-a46e-42dd-b4d9-b38f108d8ca0
20:19:13 INFO AMEND_OK | side=yes price_dollars=0.5200 total_fillable_contracts=1.00 order_id=e441cfac-a46e-42dd-b4d9-b38f108d8ca0
20:19:13 INFO AMEND_OK | side=yes price_dollars=0.5100 total_fillable_contracts=1.00 order_id=e441cfac-a46e-42dd-b4d9-b38f108d8ca0
20:19:13 INFO AMEND_OK | side=no price_dollars=0.4500 total_fillable_contracts=2.00 order_id=04cb5bf1-6b8c-4129-b40b-39e91e28d80f
20:19:14 INFO AMEND_OK | side=yes price_dollars=0.5200 total_fillable_contracts=1.00 order_id=e441cfac-a46e-42dd-b4d9-b38f108d8ca0
20:19:15 INFO AMEND_OK | side=yes price_dollars=0.5100 total_fillable_contracts=1.00 order_id=e441cfac-a46e-42dd-b4d9-b38f108d8ca0
